0;-;713013215412822016;cs;Thu Mar 24 15:42:52 CET 2016;Chodim s úžasnym klukem, ale když je nemocnej, unavenej a naštvanej, tak je protivnej a na zabití...
0;-;713013276288925696;cs;Thu Mar 24 15:43:06 CET 2016;Tohle bych z french pressu asi nedostal... #espresso #colombiaSupremo #ČTdesignLife…
1;pr;713013291874799617;cs;Thu Mar 24 15:43:10 CET 2016;Nejlepší pivo je jako nejhezčí ženská, nedá se vybrat, srovnává sládek: Brněnský sládek Petr Hauskrecht, který vymyslel… #Brno_Brno_Zprávy
1;ji;713013303610507269;cs;Thu Mar 24 15:43:13 CET 2016;Zeman otevřel veřejnosti opravený palmový skleník u lánského zámku: Exotický palmový skleník u lánského zámku otevřel… #Praha_Praha_zprávy
1;kr;713013310161989632;cs;Thu Mar 24 15:43:14 CET 2016;Operátoři velkoobchodní ceny LTE nesnížili, úřad jim pohrozil pokutami: Letos v únoru vyzval Český… #Mobil_Mobilní_operátoři
1;pr;713013319364321280;cs;Thu Mar 24 15:43:17 CET 2016;O propuštěné lidi z hanušovických strojíren se už pere konkurence: Až stovky zaměstnanců strojírenského koncernu… #Olomouc_Olomouc_zprávy
0;-;713013174736404480;cs;Thu Mar 24 15:42:42 CET 2016;Battleborn - Příběhový trailer -
0;-;713013327371309056;cs;Thu Mar 24 15:43:19 CET 2016;Neni vetsiho nepritele nez blbost ve vlastnich radach...󾌴
0;-;713012954623553536;cs;Thu Mar 24 15:41:50 CET 2016;Naplňte mrazáky a vyvěste nové menu s novinkami. Nové #zmrzlinyPrima postupně představujeme:
1;sp;713013453842210816;cs;Thu Mar 24 15:43:49 CET 2016;Hodina a půl zbývá do úvodního buly 6. ČF #playoff #telh mezi @MountfieldHK a @bkboleslav. Pojďme hoši vrátit sérii domů ! #verime
0;-;713012914333073411;cs;Thu Mar 24 15:41:40 CET 2016;Planeta Slavia je od Země vzdálená 2.092 au. #VěčnáSlavia
1;po;713013329128722433;cs;Thu Mar 24 15:43:19 CET 2016;RT @Hospodarky: Radovan #Karadžić byl mezinárodním soudem uznán vinným za genocidu bosenských Muslimů ve Srebrenici
1;kr;713013035682684928;cs;Thu Mar 24 15:42:09 CET 2016;RT @pravyprostor: Hamburk: Pětice Arabů znásilnila sedmiletou holčičku -
0;-;713013219661582336;cs;Thu Mar 24 15:42:53 CET 2016;"Třeba jsi to jen špatně pochopila" "Řekl: Rozcházím se s tebou" "Tak asi ne..." #Awkward #NovýOblíbenýSeriálZabíjteMě
0;-;713013061691564032;cs;Thu Mar 24 15:42:15 CET 2016;RT @live_human_eror: Co byste si objednali, abyste si udělali radost, když budete sad af? Prosím RT :)
0;-;713013386183835649;cs;Thu Mar 24 15:43:33 CET 2016;nachystala jsem si jídlo, odešla si pro něco do pokoje, vrátila se do kuchyně a už tam nic nebylo, klasika
0;-;713013455914139648;cs;Thu Mar 24 15:43:49 CET 2016;Nabídka podlah, které Vás okouzlí :)
1;ji;713013107669471232;cs;Thu Mar 24 15:42:26 CET 2016;Pomáhám ostatním řidičům: nebezpečí na vozovce na Jáchymovská, Praha pomocí @waze - Jezděte solidárně.
1;kr;713012850629996544;cs;Thu Mar 24 15:41:25 CET 2016;Radovan #Karadžić byl mezinárodním soudem uznán vinným za genocidu bosenských Muslimů ve Srebrenici
1;kr;713013069572603904;cs;Thu Mar 24 15:42:17 CET 2016;Radovan Karadžić byl shledán vinný z genocidy v souvislosti s masakrem ve Srebrenici. Byl odsouzen na 40 let.
0;-;713013258567831552;cs;Thu Mar 24 15:43:02 CET 2016;.@fendrych_m: Babišovy děti a #capihnizdo - Kdo neokrádá stát a dojnou krávu EU, okrádá rodinu.
1;kr;713013261801795584;cs;Thu Mar 24 15:43:03 CET 2016;Bývalý předák bosenských Srbů Karadžič stráví 40 let za mřížemi. Podle soudu v Haagu nese vinu za masakr ve Srebrenici a obléhání Sarajeva
1;kr;713013235147005952;cs;Thu Mar 24 15:42:57 CET 2016;40 let pro Karadžiče. Za Srebrenici a Sarajevo, rozhodl tribiunál - Echo24.cz via @echo24cz
1;kr;713013312955527168;cs;Thu Mar 24 15:43:15 CET 2016;Karaždič byl za Srebrenici odsouzen ke 40 letům vězení
